| label | base | transformer | geometry | status | stage2 s | sec/token | decode s | chunks | sec/chunk | ded peak MB | shr peak s2 MB | rx med s2 | a1 | a2 | a3 | a4 | verdict | a1b s2 | a1b dec | verdict v2 | thin base | ref tok | pred res MB | obs res MB | residual MB | verdict v3' |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| a_b1216 | LTX23 | Sulphur-2-base-distil-Q6_K | 1216x704/722f | completed | 130.95 | 0.007119943 | 66.11 | 19 | 3.4795 | 12443.0 | 1157.7 | 6.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| a_w46 | LTX23 | Sulphur-2-base-distil-Q6_K | 1216x704/722f | completed | 255.75 | 0.006650458 | 65.04 | 19 | 3.4232 | 15484.1 | 2362.5 | 23439.0 | True | True | False | False | organic | True | False | organic | False |  |  |  |  | plateau |
| a_w46_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 1216x704/722f | completed | 253.65 | 0.00659585 | 68.17 | 19 | 3.5879 | 15506.7 | 2331.5 | 20047.0 | True | True | False | False | organic | True | False | organic | False |  |  |  |  | plateau |
| a_b1152 | LTX23 | Sulphur-2-base-distil-Q6_K | 1152x576/722f | completed | 94.8 | 0.006649832 | 56.32 | 19 | 2.9642 | 10825.3 | 1158.3 | 9.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| a_w61 | LTX23 | Sulphur-2-base-distil-Q6_K | 1152x576/722f | completed | 92.4 | 0.002337583 | 54.62 | 19 | 2.8747 | 14543.0 | 1241.5 | 3.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| a_w61_r2 | LTX23 | Sulphur-2-base-distil-Q6_K | 1152x576/722f | completed | 92.25 | 0.002333789 | 54.39 | 19 | 2.8626 | 14299.9 | 1150.4 | 4.0 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| a_w40 | LTX23 | Sulphur-2-base-distil-Q6_K | 1216x704/722f | completed | 122.85 | 0.003673744 | 62.76 | 19 | 3.3032 | 14697.0 | 1158.1 | 3.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| a_w43 | LTX23 | Sulphur-2-base-distil-Q6_K | 1216x704/722f | completed | 124.8 | 0.003471681 | 62.34 | 19 | 3.2811 | 15540.9 | 1174.0 | 3.5 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| a_b1088 | LTX23 | Sulphur-2-base-distil-Q6_K | 1088x576/722f | completed | 88.65 | 0.006584225 | 52.51 | 19 | 2.7637 | 9224.9 | 1174.8 | 7.5 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| a_w46lo | LTX23 | Sulphur-2-base-distil-Q6_K | 1088x576/722f | completed | 88.5 | 0.003143649 | 52.6 | 19 | 2.7684 | 12795.2 | 1158.9 | 5.0 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| a_b1280 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/722f | completed | 142.65 | 0.006754261 | 68.09 | 19 | 3.5837 | 11119.7 | 1158.9 | 7.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| a_o46 | LTX23 | Sulphur-2-base-distil-Q6_K | 1280x768/722f | completed | 159.9 | 0.003620924 | 68.58 | 19 | 3.6095 | 15615.4 | 2493.5 | 343.0 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| a4_b1216 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1216x704/722f | completed | 123.15 | 0.006695846 | 63.54 | 19 | 3.3442 | 9804.5 | 645.6 | 5.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| a4_w46 | LTX23 | Sulphur-2-base-distil-Q4_K_M | 1216x704/722f | completed | 127.05 | 0.003303776 | 62.38 | 19 | 3.2832 | 13838.8 | 645.2 | 4.0 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| b_b1280 | LTX25 | default | 1280x768/722f | completed | 146.55 | 0.00693892 | 53.84 | 19 | 2.8337 | 9306.1 | 684.8 | 5.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| b_w46 | LTX25 | default | 1280x768/722f | completed | 154.05 | 0.003488451 | 52.74 | 19 | 2.7758 | 15346.4 | 645.6 | 3.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| b_w46_r2 | LTX25 | default | 1280x768/722f | completed | 154.05 | 0.003488451 | 52.87 | 19 | 2.7826 | 15346.7 | 636.8 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| b_b1152 | LTX25 | default | 1152x640/722f | completed | 108.6 | 0.006856061 | 40.89 | 19 | 2.1521 | 7640.6 | 661.4 | 8.0 | True | True |  |  | organic |  |  | baseline | False |  |  |  |  | baseline |
| b_w61 | LTX25 | default | 1152x640/722f | completed | 107.55 | 0.00244877 | 40.85 | 19 | 2.15 | 15288.1 | 660.4 | 6.0 | True | True | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| b_w61_r2 | LTX25 | default | 1152x640/722f | completed | 107.55 | 0.00244877 | 40.81 | 19 | 2.1479 | 15257.5 | 645.7 | 2.0 | True | False | False | False | organic | False | False | organic | False |  |  |  |  | clean |
| b_o52 | LTX25 | default | 1280x768/722f | completed | 298.35 | 0.005976563 | 52.8 | 19 | 2.7789 | 15643.3 | 2237.0 | 1530.5 | True | True | False | False | organic | True | False | organic | False |  |  |  |  | plateau |
